firstName,lastName,email,phone,zipCode,address,apt,city,state,dob,timezone,latitude,longitude
Jennifer,Romano,jenniferrom64@outlook.com,5169821130,14609,7722 Pine St,,Rochester,NY,04/24/1989,America/New_York,43.209358,-77.530428
Salvatore,Russo,s.russo@protonmail.com,7184701636,14203,6102 Miller St,,Buffalo,NY,03/03/1971,America/New_York,42.876481,-78.86014
Frank,Conti,frankc84@outlook.com,5852098901,10306,2319 Lincoln Rd,,Staten Island,NY,10/22/1984,America/New_York,40.573571,-74.135775
Lisa,Greco,lisa847@protonmail.com,6466794651,11206,4863 Brown St,,Brooklyn,NY,03/16/1957,America/New_York,40.705923,-73.937585
Joseph,Williams,josephwill@hotmail.com,6073031729,13206,4440 Third St,Apt 482,Syracuse,NY,09/23/1964,America/New_York,43.014904,-76.099868
Michael,Williams,michaelwil72@protonmail.com,9178658284,10005,1211 Martin St,,New York,NY,02/03/1991,America/New_York,40.708141,-74.010269
Joseph,Johnson,joseph897@gmail.com,9299008519,10010,502 Jefferson St,,New York,NY,04/13/1960,America/New_York,40.740517,-73.983247
John,Marino,johnmari@hotmail.com,5859025258,14608,6296 Second St,,Rochester,NY,05/07/1994,America/New_York,43.122024,-77.54285
Salvatore,Russo,salvatore.russo3@outlook.com,8454751673,10309,3114 Fourth St,Apt 660,Staten Island,NY,09/17/1953,America/New_York,40.523854,-74.206225
Joseph,Wilson,joseph.wilson49@hotmail.com,9346033739,10013,1506 Smith Rd,Apt 812,New York,NY,07/17/1987,America/New_York,40.716423,-74.002725
Vincent,Marino,vincent_marino@protonmail.com,9143182689,14201,4505 Davis Ave,,Buffalo,NY,09/08/1965,America/New_York,42.888915,-78.881572
Anthony,Marino,anthony_marino21@protonmail.com,2125127183,12207,6519 Park Rd,Apt 925,Albany,NY,07/05/1970,America/New_York,42.655423,-73.784273
Maria,Romano,mromano25@hotmail.com,7164627791,14201,4750 Cedar Ln,Apt 894,Buffalo,NY,10/09/1960,America/New_York,42.884307,-78.878527
Catherine,Miller,catherine.miller@gmail.com,7168026103,10459,2080 Third St,,Bronx,NY,09/10/1991,America/New_York,40.823051,-73.895248
Salvatore,Greco,salvatoregrec@protonmail.com,9146568285,11204,1076 Fifth St,,Brooklyn,NY,06/10/1973,America/New_York,40.617516,-73.982455
Lisa,Greco,lisagreco38@outlook.com,9176832850,13210,3407 Anderson St,,Syracuse,NY,08/28/1983,America/New_York,42.996182,-76.058351
Lisa,Miller,lisa.miller20@protonmail.com,9145997074,12208,3135 Franklin Ave,Apt 305,Albany,NY,11/23/2001,America/New_York,42.701453,-73.84451
Donna,Conti,dconti58@yahoo.com,8456062535,10453,3460 Elm St,,Bronx,NY,04/04/1988,America/New_York,40.855419,-73.914481
Joseph,Ricci,joseph_ricci17@yahoo.com,6077343195,11210,4070 Anderson St,Apt 776,Brooklyn,NY,06/13/1975,America/New_York,40.625219,-73.942855
Donna,Conti,donnacont@hotmail.com,9177169960,13209,1778 Third St,Apt 656,Syracuse,NY,01/16/1959,America/New_York,43.085804,-76.070214
Frank,Brown,fbrown68@gmail.com,6315128232,12206,3868 Jefferson St,,Albany,NY,11/28/1952,America/New_York,42.638807,-73.808756
Maria,Esposito,mariaesp23@protonmail.com,2122036811,11207,5923 First St,,Brooklyn,NY,04/12/1967,America/New_York,40.668273,-73.890881
Lisa,Romano,l.romano@protonmail.com,9346661253,11208,883 Thomas Rd,,Brooklyn,NY,06/23/1983,America/New_York,40.669845,-73.870782
Anthony,Davis,a.davis@yahoo.com,9349667076,10001,6911 Jones St,,New York,NY,12/02/1964,America/New_York,40.746931,-73.996297
Donna,Miller,donnam71@protonmail.com,5164752456,11209,6359 Williams Ave,,Brooklyn,NY,09/22/1971,America/New_York,40.624271,-74.024616
Anthony,Davis,anthony.davis8@hotmail.com,3474209883,11209,6570 Anderson St,Apt 968,Brooklyn,NY,08/06/1950,America/New_York,40.626164,-74.02823
Nicholas,Jones,nicholasjone@gmail.com,9348309734,14209,3455 Maple Ave,Apt 139,Buffalo,NY,08/06/1952,America/New_York,42.912243,-78.790399
Nicholas,Smith,nicholas_smith17@protonmail.com,5164656204,14210,305 Moore Ave,,Buffalo,NY,05/11/1957,America/New_York,42.824725,-78.778225
Vincent,Greco,vincent922@outlook.com,9294385435,10002,5245 Moore Ave,,New York,NY,02/04/1948,America/New_York,40.711549,-73.983532
Salvatore,Russo,salvatore705@outlook.com,6316597816,14610,3424 Davis Ave,,Rochester,NY,12/23/1974,America/New_York,43.111724,-77.51927
Frank,Romano,frankrom67@protonmail.com,6465105356,10453,7150 Washington Ave,,Bronx,NY,02/22/1984,America/New_York,40.856774,-73.911553
Maria,Smith,mariasmit@hotmail.com,6318238941,11201,3019 Jefferson St,,Brooklyn,NY,04/02/1992,America/New_York,40.692757,-73.985834
Salvatore,Ricci,salvatorericc@yahoo.com,6317249178,10302,6970 Johnson Rd,Apt 548,Staten Island,NY,05/09/1969,America/New_York,40.62914,-74.136951
Joseph,Esposito,josephe50@gmail.com,9179828328,12203,9797 Taylor Ave,,Albany,NY,01/21/1950,America/New_York,42.647796,-73.827049
Jennifer,Johnson,jjohnson34@yahoo.com,9297916045,10001,5224 Second St,Apt 758,New York,NY,07/12/1967,America/New_York,40.751026,-73.992251
Nicholas,Esposito,nicholas_esposito63@hotmail.com,7183149637,10453,6256 First St,,Bronx,NY,05/02/2005,America/New_York,40.855514,-73.915889
Jennifer,Williams,jwilliams94@hotmail.com,3474361007,10301,8766 Miller St,Apt 775,Staten Island,NY,11/06/1946,America/New_York,40.637089,-74.080906
